index,date_published,date_modified,source,sponsor,title
208,2018-09-13T08:09:11,2018-09-13T08:09:11,nrc,Vodafone,Internet of Things: het wordt nog rustig in het ziekenhuis
209,2018-08-28T12:45:09,2018-08-28T12:45:09,nrc,Vodafone,Geef je medicijn een beter plekje in de koelkast
210,2018-08-28T12:43:02,2018-08-28T12:43:02,nrc,Vodafone,Hoe technologie in de thuiszorg mensen helpt
211,2018-08-08T14:16:43,2018-08-08T14:16:43,nrc,Vodafone,In gesprek met je strijkijzer. Is dat straks normaal?
212,2018-08-08T14:16:29,2018-08-08T14:16:29,nrc,Vodafone,Verse groenten dankzij de juiste data: Internet of Things op het platteland
213,2018-08-08T14:16:16,2018-08-08T14:16:16,nrc,Vodafone,Duidelijk totaaloverzicht van energieverbruik dankzij nieuwe monitor
214,2018-06-29T13:09:27,2018-06-29T13:09:27,nrc,Vodafone,Slim gebruikmaken van IoT: zo doe je dat
215,2018-06-29T07:18:16,2018-06-29T07:18:16,nrc,Vodafone,Een schonere straat een schonere lucht: de slimme afvalcontainer regelt het
216,2018-03-13T13:32:06,2018-03-13T13:32:06,nrc,Vodafone,Het werken van de toekomst met de tools van nu
217,2018-03-07T12:53:12,2018-03-07T12:53:12,nrc,Vodafone,Een werkdag anno 2018: powernappen sporten en vergaderen via video
218,2018-03-07T12:52:43,2018-03-07T12:52:43,nrc,Vodafone,Binnen een seconde op kantoor dankzij de cloud
219,2018-09-19T15:12:37,2018-09-19T15:12:37,nrc,Binck,Spaar slim met targets voor de toekomst
220,2018-08-09T09:49:14,2018-08-09T09:49:14,nrc,Binck,Je geld laten beleggen door een bank is niet duur
221,2018-08-09T09:49:07,2018-08-09T09:49:07,nrc,Binck,Waarom je eerder resultaat haalt als je beleggingsdoelen stelt
222,2018-06-27T07:29:57,2018-06-27T07:29:57,nrc,Binck,Zo haal je meer rendement uit je spaargeld
223,2018-06-21T12:39:54,2018-06-21T12:39:54,nrc,Binck,Sparen in het buitenland: iets voor jou?
224,2018-05-29T11:23:46,2018-05-29T11:23:46,nrc,Binck,Met je spaargeld de grens over wel of niet doen?
225,2018-05-28T08:13:42,2018-05-28T08:13:42,nrc,Binck,Laten beleggen wordt steeds aantrekkelijker
226,2019-01-22T12:34:36,2019-01-22T12:34:36,nrc,LG,Authentieke bioscoopervaring met de nieuwste technologie
227,2019-01-22T09:24:30,2019-01-22T09:24:30,nrc,LG,De cijfers vertellen: televisie leeft
228,2018-11-22T15:53:35,2018-11-22T15:53:35,nrc,LG,Wat is oled?
229,2018-11-22T15:30:29,2018-11-22T15:30:29,nrc,LG,Waarom de televisie nog steeds belangrijk is
230,2018-11-19T14:25:03,2018-11-19T14:25:03,nrc,LG,70 jaar televisie in Nederland: van kijkkast naar wallpaper tv
231,2016-11-03T10:34:46,2016-11-03T10:34:46,nrc,Wageningen,De stad van de toekomst en de toekomst van de stad
232,2016-10-16T22:02:19,2016-10-16T22:02:19,nrc,Wageningen,Van groen worden we gezonder
233,2016-10-09T23:21:10,2016-10-09T23:21:10,nrc,Wageningen,De eindeloze kringloop in de stad van de toekomst
234,2016-10-02T22:32:42,2016-10-02T22:32:42,nrc,Wageningen,Boontjes telen met de buren
235,2016-09-26T09:05:16,2016-09-26T09:05:16,nrc,Wageningen,Frisse lucht voor de stad
236,2016-09-14T14:11:11,2016-09-14T14:11:11,nrc,Wageningen,Het klimaat verandert  hoe houden we het droog in de stad?
